sets,hand_size,deals,hand_type,count
3,15,9,descending,250214330
0,12,1,descending,13601450908
10,18,10,ascending,6112241
2,12,16,ascending,379301360229
0,12,22,descending,29634966957
1,12,5,ascending,250631371206
5,21,3,ascending,639
2,18,12,descending,5696
0,18,19,descending,141
0,18,20,descending,136
5,18,8,descending,6932
8,18,20,descending,114
1,18,10,ascending,2394421
1,15,11,ascending,7570770824
4,15,12,descending,113580321
11,21,22,ascending,1568
1,18,22,descending,1359
16,21,23,ascending,9
5,12,11,descending,109498845
0,18,4,descending,80
3,21,6,ascending,21
4,15,1,ascending,10453020419
1,12,5,descending,37381750671
13,15,19,ascending,155
2,15,2,descending,164533893
2,12,7,ascending,378366818505
3,18,19,descending,11663
14,21,15,ascending,32
14,12,17,ascending,10874
0,12,22,ascending,68586082762
3,15,20,ascending,26608357786
8,12,22,ascending,363275216
5,15,23,ascending,13020407529
13,18,9,ascending,15456
3,15,16,descending,262738320
2,15,16,descending,361544031
4,15,3,descending,86676967
6,18,4,descending,2041
8,12,10,ascending,378590560
1,15,10,descending,260019664
13,21,15,ascending,143
2,18,11,ascending,28497873
9,12,7,ascending,59506529
6,18,17,descending,2768
7,18,20,ascending,153894522
14,18,15,ascending,962
6,18,7,ascending,224551801
3,18,7,ascending,97630461
6,21,4,ascending,4056
0,15,10,descending,65473102
8,15,16,ascending,262743044
2,12,4,ascending,378325405798
11,15,3,ascending,77058
4,15,2,ascending,17181071983
6,18,10,descending,2505
6,15,17,ascending,5261940762
7,12,10,ascending,2954763432
7,18,17,ascending,153026517
1,18,11,ascending,2433656
7,21,18,ascending,10755
5,12,9,descending,109776130
9,15,19,descending,1159
10,12,8,ascending,13013006
12,18,19,ascending,158114
10,18,22,descending,1
1,12,22,ascending,255137168481
0,18,9,descending,123
6,12,0,ascending,32661214358
10,18,10,descending,3
7,15,12,ascending,1431797989
2,18,8,ascending,27138393
2,18,22,ascending,30617535
9,18,13,ascending,24146401
7,18,3,ascending,114604740
10,18,20,descending,1
4,18,4,descending,9203
1,12,9,descending,38145457519
3,15,12,ascending,26183020742
12,15,9,ascending,39
6,15,19,ascending,5266296915
7,18,6,ascending,143646866
5,12,23,ascending,63520188438
9,15,21,descending,1111
0,12,2,ascending,64593920060
6,18,13,descending,2648
11,15,13,ascending,82197
6,15,2,ascending,3985911405
8,15,16,descending,34969
7,18,22,descending,646
1,18,15,ascending,2558644
1,15,16,ascending,7750450462
7,15,11,ascending,1432161831
3,12,18,ascending,329404765117
12,18,18,ascending,157633
10,21,9,ascending,3631
9,18,9,ascending,23791068
6,12,5,ascending,17628193571
1,15,7,descending,251071665
7,15,15,ascending,1432402273
10,21,22,ascending,4143
12,18,6,ascending,159221
8,12,17,ascending,365246017
1,18,2,ascending,1169476
4,18,11,ascending,205593146
12,21,11,ascending,495
13,15,4,ascending,153
4,12,23,ascending,190110274684
4,12,13,descending,1164125249
6,15,12,descending,5365822
9,12,2,ascending,70548222
10,12,12,ascending,12443866
2,18,18,descending,6230
7,18,19,descending,690
5,21,16,ascending,1471
7,21,20,ascending,11116
12,15,22,ascending,46
6,12,4,descending,4631958
6,18,22,descending,2926
11,21,21,ascending,1582
8,18,18,descending,109
2,15,7,descending,335131339
0,15,7,descending,62986148
1,18,22,ascending,2645249
13,12,3,ascending,110224
8,18,20,ascending,71487608
7,12,17,descending,54544
5,18,8,ascending,253099869
4,15,11,descending,112792936
1,15,4,ascending,7089232718
13,12,19,ascending,87770
6,21,10,ascending,5258
8,21,14,ascending,11019
12,18,4,ascending,147719
6,15,5,ascending,5206934161
5,21,19,ascending,1439
6,21,11,ascending,5431
7,12,13,descending,54449
7,21,23,ascending,12041
6,18,3,descending,1327
8,15,17,descending,35011
0,12,3,descending,25876110112
3,18,8,descending,10115
5,12,13,descending,109444851
9,18,13,descending,19
8,15,10,descending,34558
1,15,1,ascending,3696257035
5,21,7,ascending,1160
5,18,7,descending,6758
12,12,19,ascending,398003
10,12,11,ascending,12567647
3,12,7,ascending,332232271190
7,15,16,ascending,1432812837
0,15,14,ascending,1047292735
1,18,5,descending,1136
11,21,14,ascending,1486
7,12,6,ascending,3045248636
2,18,20,ascending,30472401
10,15,14,ascending,2062785
3,15,13,descending,258708660
3,18,12,descending,10993
13,15,22,ascending,144
10,18,19,descending,2
12,18,17,ascending,156583
7,12,18,descending,54710
7,12,16,descending,54358
0,18,18,descending,133
0,12,8,ascending,67052269216
13,12,10,ascending,93724
0,12,1,ascending,60125328223
4,12,22,ascending,181496601514
6,12,4,ascending,17774424618
10,18,8,descending,2
3,21,12,ascending,18
6,15,9,ascending,5231516848
7,18,7,descending,514
5,12,17,descending,109515915
6,12,3,descending,4300594
13,15,5,ascending,172
10,18,20,ascending,6232428
0,12,0,ascending,45243431664
14,18,2,ascending,492
0,12,14,descending,29258672031
3,12,21,descending,6658671811
12,15,15,ascending,31
2,18,9,ascending,27604911
11,15,4,ascending,83766
2,15,18,ascending,19468988213
8,21,9,ascending,10082
14,12,16,ascending,11105
8,12,14,ascending,368852070
5,15,2,descending,14569306
12,21,23,ascending,365
0,15,1,ascending,510782337
9,18,21,descending,14
6,12,5,descending,4748065
2,12,14,descending,21159972536
1,12,15,ascending,254571842271
6,12,20,descending,4676973
6,15,4,descending,4882180
7,12,4,ascending,3098632985
8,15,21,ascending,262695955
10,18,5,ascending,5995575
10,18,3,descending,1
8,21,5,ascending,9082
12,18,8,ascending,157962
9,21,5,ascending,6592
3,18,18,ascending,109110726
15,21,5,ascending,2
10,18,9,descending,5
1,12,2,ascending,247491803867
9,18,15,descending,17
5,18,4,ascending,231647314
2,12,4,descending,20134575491
5,15,15,ascending,13191174344
1,18,3,ascending,1823648
1,12,2,descending,29378564493
6,18,12,descending,2617
8,15,5,descending,34110
6,12,14,ascending,16834298468
12,12,11,ascending,418121
7,21,16,ascending,10660
16,21,12,ascending,1
6,18,5,ascending,218679736
3,21,19,ascending,19
2,15,3,descending,266532989
11,21,5,ascending,1324
9,18,18,ascending,24471564
0,15,16,ascending,1055690362
4,12,12,descending,1163218869
8,18,21,ascending,71553785
5,18,10,ascending,258599272
8,15,21,descending,34821
8,18,13,descending,103
10,15,2,ascending,1577629
1,18,8,descending,1150
8,21,15,ascending,11114
1,18,12,descending,1287
9,12,16,ascending,55456897
14,12,0,ascending,60271
9,18,5,descending,14
5,12,2,descending,82687601
5,12,12,ascending,68409641054
3,18,3,ascending,78110071
11,18,8,ascending,1171693
13,18,6,ascending,15600
7,12,20,descending,54278
5,15,22,descending,32176317
0,12,7,ascending,66802474271
4,21,21,ascending,138
1,12,23,ascending,249284779234
0,18,4,ascending,34945
5,15,8,ascending,13028801137
4,12,14,ascending,182355853308
8,12,20,ascending,363577523
0,15,14,descending,68312893
4,12,11,descending,1162457746
1,12,3,descending,34616997381
14,12,3,ascending,14025
10,21,5,ascending,3278
6,21,18,ascending,6047
0,18,16,descending,122
7,15,18,ascending,1433476484
6,18,8,descending,2518
7,18,15,descending,664
13,18,2,ascending,7031
1,15,15,descending,272068606
6,15,15,descending,5422553
10,21,8,ascending,3592
9,18,4,ascending,22002742
3,18,10,descending,10300
10,21,4,ascending,2938
3,15,19,ascending,26586779524
3,12,3,descending,5967108840
13,15,10,ascending,147
2,15,6,descending,331741429
14,12,6,ascending,12715
4,18,5,descending,10651
7,12,2,descending,41282
11,12,16,ascending,803211
10,18,7,ascending,6102726
9,21,14,ascending,7923
7,12,3,ascending,3181303973
13,21,18,ascending,160
12,15,10,ascending,45
12,12,16,ascending,401982
1,18,14,ascending,2536389
0,18,3,ascending,30961
14,12,12,ascending,11419
10,18,13,descending,3
11,15,20,ascending,81373
1,18,12,ascending,2477481
2,12,11,ascending,379004566340
10,18,12,descending,5
3,12,20,ascending,329279248041
0,18,3,descending,57
5,21,14,ascending,1411
13,18,22,ascending,15390
1,15,12,descending,265858204
5,18,23,ascending,273669136
15,18,16,ascending,152
